Date,Value
2019-04-26,359412.0
2019-04-25,361357.0
2019-04-24,378102.0
2019-04-23,291069.0
2019-04-22,317336.0
2019-04-21,371282.0
2019-04-20,305262.0
2019-04-19,345369.0
2019-04-18,363408.0
2019-04-17,329384.0
2019-04-16,341728.0
2019-04-15,363728.0
2019-04-14,325041.0
2019-04-13,355360.0
2019-04-12,360008.0
2019-04-11,382393.0
2019-04-10,375730.0
2019-04-09,324786.0
2019-04-08,344550.0
2019-04-07,334720.0
2019-04-06,347754.0
2019-04-05,369796.0
2019-04-04,336081.0
2019-04-03,337750.0
2019-04-02,375007.0
2019-04-01,357572.0
2019-03-31,371029.0
2019-03-30,365999.0
2019-03-29,351908.0
2019-03-28,381113.0
2019-03-27,367973.0
2019-03-26,354608.0
2019-03-25,309043.0
2019-03-24,218554.0
2019-03-23,243201.0
2019-03-22,283205.0
2019-03-21,284060.0
2019-03-20,283895.0
2019-03-19,283137.0
2019-03-18,273699.0
2019-03-17,214572.0
2019-03-16,247067.0
2019-03-15,279965.0
2019-03-14,282738.0
2019-03-13,269360.0
2019-03-12,269945.0
2019-03-11,278439.0
2019-03-10,201734.0
2019-03-09,227835.0
2019-03-08,269916.0
2019-03-07,266626.0
2019-03-06,263453.0
2019-03-05,271243.0
2019-03-04,290804.0
2019-03-03,344512.0
2019-03-02,325699.0
2019-03-01,340691.0
2019-02-28,352657.0
2019-02-27,330936.0
2019-02-26,352625.0
2019-02-25,320612.0
2019-02-24,307210.0
2019-02-23,317926.0
2019-02-22,338008.0
2019-02-21,285339.0
2019-02-20,300888.0
2019-02-19,334017.0
2019-02-18,330988.0
2019-02-17,319045.0
2019-02-16,322955.0
2019-02-15,287587.0
2019-02-14,344524.0
2019-02-13,340605.0
2019-02-12,261962.0
2019-02-11,307199.0
2019-02-10,292626.0
2019-02-09,303339.0
2019-02-08,326339.0
2019-02-07,345680.0
2019-02-06,340898.0
2019-02-05,345416.0
2019-02-04,326737.0
2019-02-03,292178.0
2019-02-02,313416.0
2019-02-01,327428.0
2019-01-31,339704.0
2019-01-30,309716.0
2019-01-29,313669.0
2019-01-28,294258.0
2019-01-27,267466.0
2019-01-26,278678.0
2019-01-25,289980.0
2019-01-24,296838.0
2019-01-23,280641.0
2019-01-22,282790.0
2019-01-21,302159.0
2019-01-20,283169.0
2019-01-19,273684.0
2019-01-18,295569.0
2019-01-17,285474.0
2019-01-16,294849.0
2019-01-15,290582.0
2019-01-14,315866.0
2019-01-13,269419.0
2019-01-12,273350.0
2019-01-11,297061.0
2019-01-10,314279.0
2019-01-09,308372.0
2019-01-08,307496.0
2019-01-07,274098.0
2019-01-06,250546.0
2019-01-05,256504.0
2019-01-04,271427.0
2019-01-03,280535.0
2019-01-02,261327.0
2019-01-01,227739.0
2018-12-31,251058.0
2018-12-30,260107.0
2018-12-29,256030.0
2018-12-28,297358.0
2018-12-27,289455.0
2018-12-26,271150.0
2018-12-25,254912.0
2018-12-24,260286.0
2018-12-23,242327.0
2018-12-22,243238.0
2018-12-21,268570.0
2018-12-20,275032.0
2018-12-19,289544.0
2018-12-18,255238.0
2018-12-17,288143.0
2018-12-16,218449.0
2018-12-15,254952.0
2018-12-14,265739.0
2018-12-13,258867.0
2018-12-12,251110.0
2018-12-11,242054.0
2018-12-10,248767.0
2018-12-09,230891.0
2018-12-08,223810.0
2018-12-07,241087.0
2018-12-06,268991.0
2018-12-05,246517.0
2018-12-04,260203.0
2018-12-03,231011.0
2018-12-02,215902.0
2018-12-01,234023.0
2018-11-30,239622.0
2018-11-29,234906.0
2018-11-28,243290.0
2018-11-27,258224.0
2018-11-26,246424.0
2018-11-25,229446.0
2018-11-24,242809.0
2018-11-23,265806.0
2018-11-22,256553.0
2018-11-21,242752.0
2018-11-20,273820.0
2018-11-19,257622.0
2018-11-18,233918.0
2018-11-17,255955.0
2018-11-16,273280.0
2018-11-15,277284.0
2018-11-14,283021.0
2018-11-13,270789.0
2018-11-12,291654.0
2018-11-11,241217.0
2018-11-10,246343.0
2018-11-09,275144.0
2018-11-08,268586.0
2018-11-07,284591.0
2018-11-06,276162.0
2018-11-05,287163.0
2018-11-04,220335.0
2018-11-03,243433.0
2018-11-02,283181.0
2018-11-01,271685.0
2018-10-31,277689.0
2018-10-30,272587.0
2018-10-29,259397.0
2018-10-28,213104.0
2018-10-27,227387.0
2018-10-26,245059.0
2018-10-25,245106.0
2018-10-24,245309.0
2018-10-23,245121.0
2018-10-22,246563.0
2018-10-21,205077.0
2018-10-20,220597.0
2018-10-19,245026.0
2018-10-18,243595.0
2018-10-17,250732.0
2018-10-16,247689.0
2018-10-15,250729.0
2018-10-14,184474.0
2018-10-13,198020.0
2018-10-12,232989.0
2018-10-11,249952.0
2018-10-10,234713.0
2018-10-09,226248.0
2018-10-08,238270.0
2018-10-07,213562.0
2018-10-06,207493.0
2018-10-05,236560.0
2018-10-04,232942.0
2018-10-03,232129.0
2018-10-02,235053.0
2018-10-01,233397.0
2018-09-30,199323.0
2018-09-29,209509.0
2018-09-28,243981.0
2018-09-27,239058.0
2018-09-26,234419.0
2018-09-25,241825.0
2018-09-24,229298.0
2018-09-23,192955.0
