Date,Value
2019-11-10,435494.0
2019-11-09,519291.0
2019-11-08,541512.0
2019-11-07,553447.0
2019-11-06,559293.0
2019-11-05,576664.0
2019-11-04,549112.0
2019-11-03,465534.0
2019-11-02,472031.0
2019-11-01,563151.0
2019-10-31,504880.0
2019-10-30,536888.0
2019-10-29,527526.0
2019-10-28,540579.0
2019-10-27,438755.0
2019-10-26,541095.0
2019-10-25,570469.0
2019-10-24,515253.0
2019-10-23,544470.0
2019-10-22,541300.0
2019-10-21,545843.0
2019-10-20,437713.0
2019-10-19,486396.0
2019-10-18,518606.0
2019-10-17,528543.0
2019-10-16,545056.0
2019-10-15,533673.0
2019-10-14,513254.0
2019-10-13,417760.0
2019-10-12,452069.0
2019-10-11,547368.0
2019-10-10,549668.0
2019-10-09,524494.0
2019-10-08,534935.0
2019-10-07,538987.0
2019-10-06,435006.0
2019-10-05,480438.0
2019-10-04,545609.0
2019-10-03,525476.0
2019-10-02,535484.0
2019-10-01,573854.0
2019-09-30,540376.0
2019-09-29,435119.0
2019-09-28,474974.0
2019-09-27,532292.0
2019-09-26,554702.0
2019-09-25,571599.0
2019-09-24,596954.0
2019-09-23,544681.0
2019-09-22,456990.0
2019-09-21,493311.0
2019-09-20,557003.0
2019-09-19,552276.0
2019-09-18,578686.0
2019-09-17,567927.0
2019-09-16,562077.0
2019-09-15,422886.0
2019-09-14,491282.0
2019-09-13,546950.0
2019-09-12,564060.0
2019-09-11,556853.0
2019-09-10,564563.0
2019-09-09,536567.0
2019-09-08,436798.0
2019-09-07,472297.0
2019-09-06,601748.0
2019-09-05,550315.0
2019-09-04,544449.0
2019-09-03,595785.0
2019-09-02,529944.0
2019-09-01,423910.0
2019-08-31,464447.0
2019-08-30,543570.0
2019-08-29,545362.0
2019-08-28,526015.0
2019-08-27,535379.0
2019-08-26,539168.0
2019-08-25,393555.0
2019-08-24,452008.0
2019-08-23,564675.0
2019-08-22,609067.0
2019-08-21,599152.0
2019-08-20,558999.0
2019-08-19,517545.0
2019-08-18,407213.0
2019-08-17,441149.0
2019-08-16,533245.0
2019-08-15,538837.0
2019-08-14,554189.0
2019-08-13,566410.0
2019-08-12,459560.0
2019-08-11,414832.0
2019-08-10,453016.0
2019-08-09,562840.0
2019-08-08,568245.0
2019-08-07,545941.0
2019-08-06,617620.0
2019-08-05,583599.0
2019-08-04,421536.0
2019-08-03,470981.0
2019-08-02,581154.0
2019-08-01,558918.0
2019-07-31,573802.0
2019-07-30,548807.0
2019-07-29,521007.0
2019-07-28,391947.0
2019-07-27,445312.0
2019-07-26,563023.0
2019-07-25,568629.0
2019-07-24,490408.0
2019-07-23,531460.0
2019-07-22,533399.0
2019-07-21,400500.0
2019-07-20,488968.0
2019-07-19,566404.0
2019-07-18,588257.0
2019-07-17,569185.0
2019-07-16,595749.0
2019-07-15,585913.0
2019-07-14,437636.0
2019-07-13,472491.0
2019-07-12,637928.0
2019-07-11,598394.0
2019-07-10,616784.0
2019-07-09,623107.0
2019-07-08,622449.0
2019-07-07,447034.0
2019-07-06,523872.0
2019-07-05,617685.0
2019-07-04,603018.0
2019-07-03,651074.0
2019-07-02,671396.0
2019-07-01,624927.0
2019-06-30,497075.0
2019-06-29,573175.0
2019-06-28,729817.0
2019-06-27,694016.0
2019-06-26,768792.0
2019-06-25,682866.0
2019-06-24,659329.0
2019-06-23,596158.0
2019-06-22,643642.0
2019-06-21,654639.0
2019-06-20,635532.0
2019-06-19,664204.0
2019-06-18,696937.0
2019-06-17,628484.0
2019-06-16,520293.0
2019-06-15,601012.0
2019-06-14,731367.0
2019-06-13,667841.0
2019-06-12,601949.0
2019-06-11,623398.0
2019-06-10,607094.0
2019-06-09,438208.0
2019-06-08,471819.0
2019-06-07,619327.0
2019-06-06,602273.0
2019-06-05,631420.0
2019-06-04,687738.0
2019-06-03,550346.0
2019-06-02,489569.0
2019-06-01,578368.0
2019-05-31,598627.0
2019-05-30,642352.0
2019-05-29,680323.0
2019-05-28,685040.0
2019-05-27,644814.0
2019-05-26,476819.0
2019-05-25,511153.0
2019-05-24,644200.0
2019-05-23,630228.0
2019-05-22,646106.0
2019-05-21,657474.0
2019-05-20,617241.0
2019-05-19,516859.0
2019-05-18,588499.0
2019-05-17,676115.0
2019-05-16,682196.0
2019-05-15,675925.0
2019-05-14,669376.0
2019-05-13,648734.0
2019-05-12,551654.0
2019-05-11,573741.0
2019-05-10,618182.0
2019-05-09,619054.0
2019-05-08,635596.0
2019-05-07,578857.0
2019-05-06,573048.0
2019-05-05,460613.0
2019-05-04,508298.0
2019-05-03,615404.0
2019-05-02,584864.0
2019-05-01,565408.0
2019-04-30,604307.0
2019-04-29,573010.0
2019-04-28,445722.0
2019-04-27,460846.0
2019-04-26,593570.0
2019-04-25,577184.0
2019-04-24,645489.0
2019-04-23,548492.0
2019-04-22,498668.0
2019-04-21,426630.0
2019-04-20,456520.0
2019-04-19,597098.0
2019-04-18,563075.0
2019-04-17,555678.0
2019-04-16,560007.0
2019-04-15,576183.0
2019-04-14,430064.0
2019-04-13,458376.0
2019-04-12,578099.0
2019-04-11,620631.0
2019-04-10,593178.0
2019-04-09,572096.0
2019-04-08,579028.0
2019-04-07,447559.0
2019-04-06,478034.0
2019-04-05,632546.0
2019-04-04,603757.0
2019-04-03,626468.0
2019-04-02,666741.0
2019-04-01,528288.0
2019-03-31,459478.0
2019-03-30,513840.0
2019-03-29,563925.0
2019-03-28,578059.0
2019-03-27,569697.0
2019-03-26,522961.0
2019-03-25,530401.0
2019-03-24,417726.0
2019-03-23,450872.0
2019-03-22,550986.0
2019-03-21,535702.0
2019-03-20,538723.0
2019-03-19,551374.0
2019-03-18,533680.0
2019-03-17,413098.0
